State                        , Sector                                                                                                   , Project Count, Cost (Cr)
Hindalco Switchyard          , Madhya Pradesh                                                                                           ,           148,     55.26
(-) (-)                      , Uttar Pradesh                                                                                            ,             0,      0
Sikkim                       , Sikkim                                                                                                   ,           292,     96.5
and expansion of Refinery    , Madhya Pradesh                                                                                           ,          6104,     33.5
Logistics Infrastructure     , Haryana                                                                                                  ,           430,     60
(-) (-)                      , Bihar                                                                                                    ,             0,      0
(-) (-)                      , Rajasthan                                                                                                ,             0,      0
Roads & Highways             , IIIA                                                                                                     ,             0,     81.95
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     95.77
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     49.71
(PAIMANA)                    , Andhra Pradesh                                                                                           ,             0,     41.98
Andhra Pradesh               , Andhra Pradesh                                                                                           ,             0,     37.7
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     33.55
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     37.95
(-) (-)                      , Assam                                                                                                    ,             0,     34
(-) (-)                      , Assam                                                                                                    ,             0,      3.25
(-) (-)                      , to Km                                                                                                    ,        490800,     13.800
(-) (-)                      , Chhattisgarh                                                                                             ,            53,     38.56
(-) (-)                      , Chhattisgarh                                                                                             ,             0,      0
(-) (-)                      , Chhattisgarh                                                                                             ,             0,      0
(-) (-)                      , Gujarat                                                                                                  ,             0,     36
(-) (-)                      , Gujarat                                                                                                  ,             0,     98
(-) (-)                      , Gujarat                                                                                                  ,             0,      7
(-) (-)                      , to Km                                                                                                    ,         34000,     12
(-) (-)                      , to Km                                                                                                    ,         60800,     12
(-) (-)                      , Himachal Pradesh                                                                                         ,             0,     22.26
(-) (-)                      , Himachal Pradesh                                                                                         ,             0,     70.58
(-) (-)                      , km in the state of Madhya Pradesh on EPC mode                  Madhya Pradesh                            ,             0,     88
(-) (-)                      , Pradesh on EPC mode                                                                        Madhya Pradesh,             0,     16.52
(-) (-)                      , Dahiwadi Village Bus Stop Design chainage Km               Maharashtra                                   ,             0,     74.29
(-) (-)                      , km                                      Maharashtra                                                      ,             0,     88.56
(-) (-)                      , mode                                                                                     Maharashtra     ,             0,     93.75
(-) (-)                      , km                                                                                       Maharashtra     ,             0,     54.04
(-) (-)                      , Two lane with paved shoulder configuartion in the state of Maharashtra on EPC mode       Maharashtra     ,             0,     15
(-) (-)                      , EPC Mode                                                                                Maharashtra      ,             0,      0
(-) (-)                      , Punjab                                                                                                   ,             0,     45
(-) (-)                      , Punjab                                                                                                   ,             0,     83
(-) (-)                      , to km                                                                                                    ,        303900,     12
(-) (-)                      , to km                                                                                                    ,        397700,     03
(-) (-)                      , to km                                                                                                    ,         25240,     11
(-) (-)                      , to Km                                                                                                    ,          4604,     03
(-) (-)                      , Annuity Mode HAM in the State of Uttar Pradesh                                          Uttar Pradesh    ,             0,     35
(-) (-)                      , Uttarakhand                                                                                              ,             0,     53.74
(-) (-)                      , km                                                             Uttarakhand                               ,             0,     37.23
(-) (-)                      , Uttarakhand                                                                                              ,             0,     81.17
(-) (-)                      , Pariyojna on EPC Mode                                                                  Uttarakhand       ,             0,     37.19
Sector - Overview            , Roads & Highways                                                                                         ,           993,    945
Sector - Overview            , Railways                                                                                                 ,           192,    469
Sector - Overview            , Urban Public Transport                                                                                   ,            30,    320
Sector - Overview            , Aviation & Aviation Infrastructure                                                                       ,            25,     21
Sector - Overview            , Shipping                                                                                                 ,             4,      7
Sector - Overview            , Logistics Infrastructure                                                                                 ,             1,    763
Sector - Overview            , Inland Waterways                                                                                         ,             1,      5
Sector - Overview            , Oil & Gas                                                                                                ,            91,    362
Sector - Overview            , Transmission & Distribution                                                                              ,            63,    197
Sector - Overview            , Electricity Generation                                                                                   ,            39,    389
Sector - Overview            , Energy Storage                                                                                           ,            12,     25
Sector - Overview            , Water Resources                                                                                          ,            30,     96
Sector - Overview            , Waste & Water                                                                                            ,            23,      7
Sector - Overview            , Telecommunication                                                                                        ,            31,    207
Sector - Overview            , Healthcare                                                                                               ,            44,     23
Sector - Overview            , Education                                                                                                ,            31,     16
Sector - Overview            , Real Estate                                                                                              ,            15,     54
Sector - Overview            , Coal                                                                                                     ,           115,    184
Sector - Overview            , Steel                                                                                                    ,            26,     24
Sector - Overview            , Metals & Mining                                                                                          ,             6,      9
Sector - Overview            , Construction                                                                                             ,             2,    899
(PAIMANA)                    , Water Resources                                                                                          ,            30, 140510.51
Himachal Pradesh             , Jharkhand                                                              Water Resources                   ,             2,   6386.21
Uttarakhand                  , Ministry of Mines                         Construction                                                   ,             1,     98.94
Establishment of NIT Nagaland, Sikkim                                                                                                   ,           292,     96.5
(NHIDCL)                     , Assam                                                                                                    ,             0,     52
(NHIDCL)                     , to Km                                                                                                    ,        490800,     13.800
(MoRTH)                      , Assam                                                                                                    ,             0,      3.25
(NHIDCL)                     , Manipur                                                                                                  ,           195,     98.12
(NHIDCL)                     , to Km                                                                                                    ,        151060,     03
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     53.21
(NHIDCL)                     , Meghalaya                                                                                                ,             0,      4.5
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      2
(NHIDCL)                     , of NH                                                                                                    ,            61,     06
(NHIDCL)                     , Nagaland                                                                                                 ,             0,     44.46
(NHIDCL)                     , Km in the state of Nagaland Under Bharatmala Pariyojna on EPC       Nagaland                             ,             0,     43.13
Hindalco Switchyard          , Madhya Pradesh                                                                                           ,           148,     55.26
(-) (-)                      , Uttar Pradesh                                                                                            ,             0,      0
Sikkim                       , Sikkim                                                                                                   ,           292,     96.5
and expansion of Refinery    , Madhya Pradesh                                                                                           ,          6104,     33.5
Logistics Infrastructure     , Haryana                                                                                                  ,           430,     60
(-) (-)                      , Bihar                                                                                                    ,             0,      0
(-) (-)                      , Rajasthan                                                                                                ,             0,      0
Roads & Highways             , IIIA                                                                                                     ,             0,     81.95
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     95.77
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     49.71
(PAIMANA)                    , Andhra Pradesh                                                                                           ,             0,     41.98
Andhra Pradesh               , Andhra Pradesh                                                                                           ,             0,     37.7
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     33.55
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     37.95
(-) (-)                      , Assam                                                                                                    ,             0,     34
(-) (-)                      , Assam                                                                                                    ,             0,      3.25
(-) (-)                      , to Km                                                                                                    ,        490800,     13.800
(-) (-)                      , Chhattisgarh                                                                                             ,            53,     38.56
(-) (-)                      , Chhattisgarh                                                                                             ,             0,      0
(-) (-)                      , Chhattisgarh                                                                                             ,             0,      0
(-) (-)                      , Gujarat                                                                                                  ,             0,     36
(-) (-)                      , Gujarat                                                                                                  ,             0,     98
(-) (-)                      , Gujarat                                                                                                  ,             0,      7
(-) (-)                      , to Km                                                                                                    ,         34000,     12
(-) (-)                      , to Km                                                                                                    ,         60800,     12
(-) (-)                      , Himachal Pradesh                                                                                         ,             0,     22.26
(-) (-)                      , Himachal Pradesh                                                                                         ,             0,     70.58
(-) (-)                      , km in the state of Madhya Pradesh on EPC mode                  Madhya Pradesh                            ,             0,     88
(-) (-)                      , Pradesh on EPC mode                                                                        Madhya Pradesh,             0,     16.52
(-) (-)                      , Dahiwadi Village Bus Stop Design chainage Km               Maharashtra                                   ,             0,     74.29
(-) (-)                      , km                                      Maharashtra                                                      ,             0,     88.56
(-) (-)                      , mode                                                                                     Maharashtra     ,             0,     93.75
(-) (-)                      , km                                                                                       Maharashtra     ,             0,     54.04
(-) (-)                      , Two lane with paved shoulder configuartion in the state of Maharashtra on EPC mode       Maharashtra     ,             0,     15
(-) (-)                      , EPC Mode                                                                                Maharashtra      ,             0,      0
(-) (-)                      , Punjab                                                                                                   ,             0,     45
(-) (-)                      , Punjab                                                                                                   ,             0,     83
(-) (-)                      , to km                                                                                                    ,        303900,     12
(-) (-)                      , to km                                                                                                    ,        397700,     03
(-) (-)                      , to km                                                                                                    ,         25240,     11
(-) (-)                      , to Km                                                                                                    ,          4604,     03
(-) (-)                      , Annuity Mode HAM in the State of Uttar Pradesh                                          Uttar Pradesh    ,             0,     35
(-) (-)                      , Uttarakhand                                                                                              ,             0,     53.74
(-) (-)                      , km                                                             Uttarakhand                               ,             0,     37.23
(-) (-)                      , Uttarakhand                                                                                              ,             0,     81.17
(-) (-)                      , Pariyojna on EPC Mode                                                                  Uttarakhand       ,             0,     37.19
Sector - Overview            , Roads & Highways                                                                                         ,          1022,    969
Sector - Overview            , Railways                                                                                                 ,           257,    724
Sector - Overview            , Urban Public Transport                                                                                   ,            29,    307
Sector - Overview            , Aviation & Aviation Infrastructure                                                                       ,            25,     21
Sector - Overview            , Shipping                                                                                                 ,             6,     14
Sector - Overview            , Logistics Infrastructure                                                                                 ,             1,    763
Sector - Overview            , Inland Waterways                                                                                         ,             1,      5
Sector - Overview            , Oil & Gas                                                                                                ,            91,    362
Sector - Overview            , Transmission & Distribution                                                                              ,            64,    197
Sector - Overview            , Electricity Generation                                                                                   ,            38,    350
Sector - Overview            , Energy Storage                                                                                           ,            14,     36
Sector - Overview            , Water Resources                                                                                          ,            32,     98
Sector - Overview            , Waste & Water                                                                                            ,            24,      8
Sector - Overview            , Telecommunication                                                                                        ,            15,    161
Sector - Overview            , Healthcare                                                                                               ,            44,     22
Sector - Overview            , Education                                                                                                ,            31,     16
Sector - Overview            , Real Estate                                                                                              ,            12,     50
Sector - Overview            , Coal                                                                                                     ,           115,    184
Sector - Overview            , Steel                                                                                                    ,            17,     17
Sector - Overview            , Metals & Mining                                                                                          ,             6,      9
Sector - Overview            , Construction                                                                                             ,             2,    899
(PAIMANA)                    , Water Resources                                                                                          ,            32, 143454
Andhra Pradesh               , Bihar               Department of Higher Education                   Education                           ,             1,    449.96
Himachal Pradesh             , Jammu and Kashmir         Ministry of Health & Family Welfare                 Healthcare                 ,             3,   1989.22
Maharashtra                  , Manipur             Ministry of Petroleum & Natural Gas                  Oil & Gas                       ,             1,   6900.00
(PAIMANA)                    , and NH                                                                                                   ,            27,     03
Establishment of NIT Nagaland, Sikkim                                                                                                   ,           292,     96
Energy Storage               , Assam                                                                                                    ,         11036,     92.9
(MoRTH)                      , Arunachal Pradesh                                                                                        ,             0,     99.69
(NHIDCL)                     , Balance Work                                                                      Arunachal Pradesh      ,             0,     19.55
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     11.74
(NHIDCL)                     , Km in the state of Arunachal Pradesh on EPC mode         Arunachal Pradesh                               ,             0,      0
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     39.8
Physical Progress            , Arunachal Pradesh                                                                                        ,             0,     21.97
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     54.11
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,      1.7
(NHIDCL)                     , Churaibari stretch in the State of Assam on EPC Mode under Bharatmala                   Assam            ,             0,     57.17
(NHIDCL)                     , Assam                                                                                                    ,             0,     40.99
(NHIDCL)                     , Assam                                                                                                    ,             0,     14.04
(NHIDCL)                     , Assam                                                                                                    ,             0,     41.26
(NHIDCL)                     , Assam                                                                                                    ,             0,     99.7
(NHIDCL)                     , Assam                                                                                                    ,             0,     32.59
(NHIDCL)                     , Assam                                                                                                    ,             0,      3.25
(NHIDCL)                     , Assam                                                                                                    ,             0,     52
(NHIDCL)                     , to Km                                                                                                    ,        490800,     13.800
(NHIDCL)                     , to Km                                                                                                    ,        463000,     10.000
(NHIDCL)                     , Assam                                                                                                    ,             0,     90.36
(NHIDCL)                     , Manipur                                                                                                  ,             0,     88.96
(NHIDCL)                     , Manipur                                                                                                  ,             0,     98.12
(NHIDCL)                     , Meghalaya                                                                                                ,             0,     51.02
(NHIDCL)                     , Meghalaya                                                                                                ,             0,    100
(NHIDCL)                     , to Km                                                                                                    ,        151060,     03
(NHIDCL)                     , Meghalaya                                                                                                ,             0,      2.5
(NHIDCL)                     , Mizoram                                                                                                  ,             0,     17.12
(NHIDCL)                     , Mizoram                                                                                                  ,             0,     18.9
(NHIDCL)                     , Mizoram                                                                                                  ,             0,     13.95
Physical Progress            , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      2
(NHIDCL)                     , Km in the state of Nagaland Under Bharatmala Pariyojna on EPC              Nagaland                      ,             0,     43.13
(NHIDCL)                     , of NH                                                                                                    ,            61,     06
(NHIDCL)                     , Nagaland                                                                                                 ,             0,     44.46
(NHIDCL)                     , Sikkim                                                                                                   ,             0,     90
(NHIDCL)                     , Sikkim                                                                                                   ,             0,     82.64
(NHIDCL)                     , Tripura                                                                                                  ,             0,     14.5
(NHIDCL)                     , in      Tripura                                                                                          ,             0,     60.5
Physical Progress            , Tripura                                                                                                  ,             0,     63.15
(NHIDCL)                     , Tripura                                                                                                  ,             0,     54.56
(-) (-)                      , Uttar Pradesh                                                                                            ,             0,      0
Sikkim                       , Sikkim                                                                                                   ,           292,     96
and expansion of Refinery    , Madhya Pradesh                                                                                           ,          5596,     30.7
Under PPP Mode               , Gujarat                                                                                                  ,          2481,     60
(-) (-)                      , West Bengal                                                                                              ,             0,      0
Logistics Infrastructure     , Haryana                                                                                                  ,           430,     60
(-) (-)                      , Karnataka                                                                                                ,             0,      0
(-) (-)                      , Rajasthan                                                                                                ,             0,      0
Roads & Highways             , IIIA                                                                                                     ,             0,     81.32
Akiveedu                     , Andhra Pradesh                                                                                           ,             0,     74.41
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     95.77
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     46.45
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     35.6
Andhra Pradesh               , Andhra Pradesh                                                                                           ,             0,     28.78
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     30.55
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     37.95
(-) (-)                      , Andhra Pradesh                                                                                           ,             0,     98.6
(-) (-)                      , Arunachal Pradesh                                                                                        ,             0,      1.7
(-) (-)                      , Arunachal Pradesh                                                                                        ,             0,     21.97
(-) (-)                      , Arunachal Pradesh                                                                                        ,             0,     19.55
(-) (-)                      , Arunachal Pradesh                                                                                        ,             0,     11.74
(-) (-)                      , Arunachal Pradesh                                                                                        ,             0,      0
(PAIMANA)                    , Assam                                                                                                    ,             0,     20.8
(-) (-)                      , Assam                                                                                                    ,             0,      3.25
(-) (-)                      , Assam                                                                                                    ,             0,     12.45
(-) (-)                      , Assam                                                                                                    ,             0,     32.59
(-) (-)                      , Assam                                                                                                    ,             0,     57.17
(-) (-)                      , Assam                                                                                                    ,             0,     25.16
(PAIMANA)                    , Assam                                                                                                    ,             0,     40.99
(-) (-)                      , Assam                                                                                                    ,             0,     14.04
(-) (-)                      , to Km                                                                                                    ,        463000,     10.000
(-) (-)                      , to Km                                                                                                    ,        490800,     13.800
(-) (-)                      , Bihar                                                                                                    ,             0,      4
(-) (-)                      , Bihar                                                                                                    ,             0,     37
(-) (-)                      , Bihar                                                                                                    ,             0,     74.93
(-) (-)                      , Bihar                                                                                                    ,             0,     51.91
(-) (-)                      , Chhattisgarh                                                                                             ,             0,     97.9
(-) (-)                      , Chhattisgarh                                                                                             ,             0,      0
(-) (-)                      , Chhattisgarh                                                                                             ,             0,      0
(-) (-)                      , Gujarat                                                                                                  ,             0,     35
(-) (-)                      , Gujarat                                                                                                  ,             0,     98
(-) (-)                      , Gujarat                                                                                                  ,             0,     63
(PAIMANA)                    , to Km                                                                                                    ,         34000,     12
(-) (-)                      , to Km                                                                                                    ,         60800,     12
(-) (-)                      , Himachal Pradesh                                                                                         ,             0,     70.39
(-) (-)                      , Karnataka                                                                                                ,             0,     20
(-) (-)                      , Karnataka                                                                                                ,             0,     90
(-) (-)                      , Karnataka                                                                                                ,             0,     71
(-) (-)                      , Pradesh on EPC mode                                                                    Madhya Pradesh    ,             0,     32.52
(-) (-)                      , km in the state of Madhya Pradesh on EPC mode                  Madhya Pradesh                            ,             0,     88
(-) (-)                      , Pradesh on EPC mode                                                                        Madhya Pradesh,             0,     15.49
(-) (-)                      , Dahiwadi Village Bus Stop Design chainage Km               Maharashtra                                   ,             0,     72.05
(-) (-)                      , km                                      Maharashtra                                                      ,             0,     83.46
(-) (-)                      , in Gondia District in the state of             Maharashtra                                               ,             0,     34.15
(-) (-)                      , of Dhawali to Gadchroli road in        Maharashtra                                                       ,             0,     34.1
(PAIMANA)                    , mode                                                                                     Maharashtra     ,             0,     93.75
(-) (-)                      , km                                                                                       Maharashtra     ,             0,     54.04
(-) (-)                      , Two lane with paved shoulder configuartion in the state of Maharashtra on EPC mode       Maharashtra     ,             0,     15
(-) (-)                      , Maharashtra                                                                                              ,             0,      1
(-) (-)                      , EPC Mode                                                                               Maharashtra       ,             0,      0
(-) (-)                      , Meghalaya                                                                                                ,             0,    100
(-) (-)                      , Mizoram                                                                                                  ,             0,     17.12
(-) (-)                      , of Mizoram on EPC mode                                                                  Mizoram          ,             0,     18.9
(-) (-)                      , Mizoram                                                                                                  ,             0,     13.95
(-) (-)                      , Punjab                                                                                                   ,             0,     45
(-) (-)                      , Punjab                                                                                                   ,             0,     83
(-) (-)                      , to km                                                                                                    ,        260860,     12
(-) (-)                      , to km                                                                                                    ,        303900,     12
(-) (-)                      , to km                                                                                                    ,        397700,     03
(-) (-)                      , to km                                                                                                    ,         25240,     11
(-) (-)                      , to Km                                                                                                    ,          4604,     03
(-) (-)                      , Tripura                                                                                                  ,             0,     54.56
(-) (-)                      , Tripura                                                                                                  ,             0,     14.5
(-) (-)                      , Tripura                                                                                                  ,             0,     60.5
(-) (-)                      , Tripura                                                                                                  ,             0,     63.15
(-) (-)                      , km in the state of Uttar Pradesh on EPC mode           Uttar Pradesh                                     ,             0,      8
(-) (-)                      , Annuity Mode HAM in the State of Uttar Pradesh                                          Uttar Pradesh    ,             0,     35
(-) (-)                      , Uttar Pradesh                                                                           Uttar Pradesh    ,             0,     81.18
(-) (-)                      , Uttarakhand                                                                                              ,             0,     53.74
(-) (-)                      , km                                                             Uttarakhand                               ,             0,     37.23
(-) (-)                      , Uttarakhand                                                                                              ,             0,     81.17
(-) (-)                      , Pariyojna on EPC Mode                                                                  Uttarakhand       ,             0,     30.76
