State                        , Sector                                                                                                   , Project Count, Cost (Cr)
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , A                                                                                  Mizoram               ,             0,      0
(NHIDCL)                     , state of Mizoram under Bharatmala Pariyojana on EPC mode                           Mizoram               ,             0,      0
(NHIDCL)                     , Mizoram                                                                                                  ,             0,      0
(NHIDCL)                     , Nagaland                                                                                                 ,             0,      0
Physical Progress            , Nagaland                                                                                                 ,             0,      0
(NHIDCL)                     , Nagaland                                                                                                 ,             0,      0
(NHIDCL)                     , Nagaland                                                                                                 ,             0,      0
(NHIDCL)                     , Nagaland                                                                                                 ,             0,     20
(NHIDCL)                     , Km in the state of Nagaland Under Bharatmala Pariyojna on EPC        Nagaland                            ,             0,     29
(NHIDCL)                     , of NH                                                                                                    ,            61,     06
(NHIDCL)                     , Nagaland                                                                                                 ,             0,     41
(NHIDCL)                     , Nagaland                                                                                                 ,             0,      0
(NHIDCL)                     , Nagaland                                                                                                 ,             0,      0
(NHIDCL)                     , Sikkim                                                                                                   ,             0,     33
Physical Progress            , Sikkim                                                                                                   ,             0,      0
(NHIDCL)                     , Sikkim                                                                                                   ,             0,     78
(NHIDCL)                     , Tripura                                                                                                  ,             0,      0
(NHIDCL)                     , Tripura                                                                                                  ,             0,      0
(NHIDCL)                     , shoulder on EPC bais under NHO                                                           Tripura         ,             0,      0
(NHIDCL)                     , Tripura                                                                                                  ,             0,      6
(NHIDCL)                     , in            Tripura                                                                                    ,             0,     42
(NHIDCL)                     , Tripura                                                                                                  ,             0,      0
Real Estate                  , Delhi                                                                                                    ,             0,      0
Indore Metro Rail Project    , Maharashtra                                                                                              ,             0,      0
IISER BERHAMPUR              , Punjab                                                                                                   ,            30,     19
AIIMS Darbhanga              , Delhi                                                                                                    ,             0,      0
Healthcare                   , Maharashtra                                                                                              ,            58,     11
Shipping                     , Karnataka                                                                                                ,            24,     33
Bhadrak-Nergundi Third Line  , Rajasthan                                                                                                ,             0,      0
Sahjanwa-Dohrighat           , Uttar Pradesh                                                                                            ,             0,      0
(MoRTH)                      , Andhra Pradesh                                                                                           ,             0,      0
(MoRTH)                      , Andhra Pradesh                                                                                           ,             0,     40
(MoRTH)                      , Andhra Pradesh                                                                                           ,             0,     83
(MoRTH)                      , from in the State of Andhra Pradesh on EPC mode                                         Andhra Pradesh   ,             0,     81
(MoRTH)                      , Andhra Pradesh                                                                                           ,             0,      0
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     99
(NHIDCL)                     , Arunachal Pradesh                                                                                        ,             0,     98
(NHIDCL)                     , Assam                                                                                                    ,             0,    100
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , State of Assam on EPC Mode under Bharatmala Pariyojana in Economic Corridors            Assam            ,             0,     46
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,     20
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,     71
(NHIDCL)                     , Assam                                                                                                    ,             0,     54
(NHIDCL)                     , Km under JICA ODA              Assam                                                                     ,             0,     43
(NHIDCL)                     , Km               Assam                                                                                   ,             0,    100
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , Assam                                                                                                    ,             0,      0
(NHIDCL)                     , and NH                                                                                                   ,            27,     03
(MoRTH)                      , Bihar                                                                                                    ,             0,      0
(PAIMANA)                    , under EPC mode in the state of Bihar                                                    Bihar            ,             0,      2
(MoRTH)                      , Bihar                                                                                                    ,             0,      0
(MoRTH)                      , Bihar                                                                                                    ,             0,     66
(MoRTH)                      , Bihar                                                                                                    ,             0,     44
(MoRTH)                      , Bihar                                                                                   Bihar            ,             0,      8
(MoRTH)                      , Chhattisgarh                                                                                             ,           537,     60
(MoRTH)                      , Gujarat                                                                                                  ,             0,     78
(MoRTH)                      , Gujarat                                                                                                  ,             0,     47
(PAIMANA)                    , Gujarat                                                                                                  ,           162,    100
(MoRTH)                      , Himachal Pradesh                                                                                         ,             0,      0
(NHIDCL)                     , in the UT of J&K on EPC                                                                                  ,             0,      0
